subject_id,specimen_site,sampleevent,genus,originalsampletype,cx_positive,distance_meters,mean_distance_meters
ICE_0068,ES1,4D,Citrobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Clostridioides,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Enterobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Enterococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Escherichia,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Klebsiella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Pseudomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Raoultella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Staphylococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,4D,Stenotrophomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES2,4D,Acinetobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Citrobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Clostridioides,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Enterobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Enterococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Escherichia,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Klebsiella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Pseudomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Raoultella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Staphylococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,4D,Stenotrophomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES3,4D,Acinetobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Citrobacter,Environmental Swab,TRUE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Clostridioides,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Enterobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Enterococcus,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Escherichia,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Klebsiella,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Pseudomonas,Environmental Swab,TRUE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Raoultella,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Staphylococcus,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,4D,Stenotrophomonas,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES1,6D,Acinetobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Citrobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Clostridioides,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Enterobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Enterococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Escherichia,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Klebsiella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Pseudomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Raoultella,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Staphylococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES1,6D,Stenotrophomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0068,ES2,6D,Acinetobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Citrobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Clostridioides,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
